deg_file,ref_file,mos,mos_std,dst_idx,db,mos_norm
CSIQ/dst_imgs/awgn/1600.AWGN.1.png,CSIQ/src_imgs/1600.png,0.06198940631407,0.0612190731017426,1,csiq,4.75204237474372
CSIQ/dst_imgs/awgn/1600.AWGN.2.png,CSIQ/src_imgs/1600.png,0.206244506211291,0.0971321981418872,1,csiq,4.17502197515484
CSIQ/dst_imgs/awgn/1600.AWGN.3.png,CSIQ/src_imgs/1600.png,0.262122225978979,0.0325909045630567,1,csiq,3.95151109608408
CSIQ/dst_imgs/awgn/1600.AWGN.4.png,CSIQ/src_imgs/1600.png,0.374632289596199,0.106896094889754,1,csiq,3.5014708416152
CSIQ/dst_imgs/awgn/1600.AWGN.5.png,CSIQ/src_imgs/1600.png,0.467480295574237,0.1196543774021,1,csiq,3.13007881770305
CSIQ/dst_imgs/jpeg/1600.JPEG.1.png,CSIQ/src_imgs/1600.png,0.0128730514556379,0.00359832912629426,2,csiq,4.94850779417745
CSIQ/dst_imgs/jpeg/1600.JPEG.2.png,CSIQ/src_imgs/1600.png,0.0691476976770665,0.063352119952441,2,csiq,4.72340920929173
CSIQ/dst_imgs/jpeg/1600.JPEG.3.png,CSIQ/src_imgs/1600.png,0.196827211716677,0.0836092997640814,2,csiq,4.21269115313329
CSIQ/dst_imgs/jpeg/1600.JPEG.4.png,CSIQ/src_imgs/1600.png,0.501063479287181,0.082817360991949,2,csiq,2.99574608285127
CSIQ/dst_imgs/jpeg/1600.JPEG.5.png,CSIQ/src_imgs/1600.png,0.687126840509715,0.0586628643325048,2,csiq,2.25149263796114
CSIQ/dst_imgs/jpeg2000/1600.jpeg2000.1.png,CSIQ/src_imgs/1600.png,0.0119674975407025,0.00199118866439743,3,csiq,4.95213000983719
CSIQ/dst_imgs/jpeg2000/1600.jpeg2000.2.png,CSIQ/src_imgs/1600.png,0.135311311101256,0.0592617778718178,3,csiq,4.45875475559498
